Date,Image Name,Resolution,Size (bytes),Image Path,Brisque_Score,Quality_Assessment
03-05-2023,03-05-2023/100072176_2023-05-02_2.jpg,480 x 640,60298,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100072176_2023-05-02_2.jpg"")",35.580213895142236,Poor quality and clarity
03-05-2023,03-05-2023/100076759_2023-05-02_2.jpg,480 x 637,51668,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100076759_2023-05-02_2.jpg"")",28.77355546226474,Good quality and clarity
03-05-2023,03-05-2023/100078639_2023-05-02_2.jpg,360 x 480,27462,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100078639_2023-05-02_2.jpg"")",16.79102414839437,Good quality and clarity
03-05-2023,03-05-2023/100080414_2023-05-02_2.jpg,480 x 640,2978,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100080414_2023-05-02_2.jpg"")",103.42588577702915,Poor quality and clarity
03-05-2023,03-05-2023/100089351_2023-05-02_2.jpg,480 x 640,36909,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100089351_2023-05-02_2.jpg"")",23.969578035177364,Good quality and clarity
03-05-2023,03-05-2023/100104652_2023-05-02_2.jpg,221 x 480,14086,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100104652_2023-05-02_2.jpg"")",17.309866499516232,Good quality and clarity
03-05-2023,03-05-2023/100109042_2023-05-02_2.jpg,480 x 1020,43221,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100109042_2023-05-02_2.jpg"")",20.588982013062463,Good quality and clarity
03-05-2023,03-05-2023/100124884_2023-05-02_2.jpg,480 x 1063,48598,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100124884_2023-05-02_2.jpg"")",21.005588285429752,Good quality and clarity
03-05-2023,03-05-2023/100125956_2023-05-02_2.jpg,480 x 640,29858,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100125956_2023-05-02_2.jpg"")",22.906738468382827,Good quality and clarity
03-05-2023,03-05-2023/100129693_2023-05-02_2.jpg,480 x 1066,32835,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100129693_2023-05-02_2.jpg"")",32.498561887013096,Poor quality and clarity
03-05-2023,03-05-2023/100134254_2023-05-02_2.jpg,216 x 480,14854,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100134254_2023-05-02_2.jpg"")",19.672721741030358,Good quality and clarity
03-05-2023,03-05-2023/100140421_2023-05-02_2.jpg,480 x 640,38084,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100140421_2023-05-02_2.jpg"")",33.82484093720208,Poor quality and clarity
03-05-2023,03-05-2023/100140828_2023-05-02_2.jpg,360 x 480,33523,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100140828_2023-05-02_2.jpg"")",27.370101854307308,Good quality and clarity
03-05-2023,03-05-2023/100141360_2023-05-02_2.jpg,360 x 480,29280,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100141360_2023-05-02_2.jpg"")",23.839425075749062,Good quality and clarity
03-05-2023,03-05-2023/100145179_2023-05-02_2.jpg,480 x 640,51345,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100145179_2023-05-02_2.jpg"")",16.56691416253088,Good quality and clarity
03-05-2023,03-05-2023/100154046_2023-05-02_2.jpg,480 x 853,32567,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100154046_2023-05-02_2.jpg"")",41.78528996749546,Poor quality and clarity
03-05-2023,03-05-2023/100155890_2023-05-02_2.jpg,480 x 640,49846,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100155890_2023-05-02_2.jpg"")",20.22094735172604,Good quality and clarity
03-05-2023,03-05-2023/100155936_2023-05-02_2.jpg,480 x 640,53619,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100155936_2023-05-02_2.jpg"")",16.625422228458177,Good quality and clarity
03-05-2023,03-05-2023/100156677_2023-05-02_2.jpg,480 x 640,37551,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100156677_2023-05-02_2.jpg"")",20.917317961429006,Good quality and clarity
03-05-2023,03-05-2023/100157020_2023-05-02_2.jpg,480 x 1069,13782,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100157020_2023-05-02_2.jpg"")",66.11587632852135,Poor quality and clarity
03-05-2023,03-05-2023/100161277_2023-05-02_2.jpg,215 x 480,9056,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100161277_2023-05-02_2.jpg"")",33.624240318375854,Poor quality and clarity
03-05-2023,03-05-2023/100165524_2023-05-02_2.jpg,480 x 1063,35982,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100165524_2023-05-02_2.jpg"")",31.796442618847294,Poor quality and clarity
03-05-2023,03-05-2023/100166905_2023-05-02_2.jpg,480 x 640,47902,"=HYPERLINK(""https://bnlwestgunileveraf01073.blob.core.windows.net/ba-grooming-metrices-fl-inputs/03-05-2023/100166905_2023-05-02_2.jpg"")",20.08439418100906,Good quality and clarity
